Id;Name;City;Country;Code
1856;Ixtapa Zihuatanejo International Airport;Zihuatanejo;Mexico;ZIH
1857;Zamora Airport;Zamora;Mexico;ZMM
1858;Playa De Oro International Airport;Manzanillo;Mexico;ZLO
1859;Zapopan Airport;Zapopan;Mexico;\N
1860;Bluefields Airport;Bluefields;Nicaragua;BEF
1861;Los Brasiles Airport;Los Brasiles;Nicaragua;\N
1862;Leon (Fanor Urroz) Airport;Leon;Nicaragua;\N
1863;Augusto C. Sandino (Managua) International Airport;Managua;Nicaragua;MGA
1864;Puerto Cabezas Airport;Puerto Cabezas;Nicaragua;PUZ
1865;Bocas Del Toro International Airport;Bocas Del Toro;Panama;BOC
1866;Cap Manuel Niño International Airport;Changuinola;Panama;CHX
1867;Enrique Malek International Airport;David;Panama;DAV
1868;Panama Pacific International Airport;Howard;Panama;BLB
1869;Marcos A. Gelabert International Airport;Panama;Panama;PAC
1870;Ruben Cantu Airport;Santiago;Panama;SYP
1871;Tocumen International Airport;Panama City;Panama;PTY
1872;Buenos Aires Airport;Buenos Aires;Costa Rica;BAI
1874;Coto 47 Airport;Coto 47;Costa Rica;OTR
1875;Chacarita Airport;Chacarita;Costa Rica;JAP
1877;El Carmen de Siquirres Airport;El Carmen;Costa Rica;\N
1878;Finca 10 / Nuevo Palmar Sur Airport;Finca 10;Costa Rica;\N
1879;Golfito Airport;Golfito;Costa Rica;GLF
1880;Guapiles Airport;Guapiles;Costa Rica;GPL
1881;Daniel Oduber Quiros International Airport;Liberia;Costa Rica;LIR
1882;Los Chiles Airport;Los Chiles;Costa Rica;LSL
1883;Limon International Airport;Limon;Costa Rica;LIO
1884;Nosara Airport;Nosara Beach;Costa Rica;NOB
1885;Juan Santamaria International Airport;San Jose;Costa Rica;SJO
1886;Pandora Airport;Pandora;Costa Rica;\N
1887;Palmar Sur Airport;Palmar Sur;Costa Rica;PMZ
1889;Quepos Managua Airport;Quepos;Costa Rica;XQP
1890;Santa Clara De Guapiles Airport;Santa Clara;Costa Rica;\N
1891;San Vito De Java Airport;San Vito De Jaba;Costa Rica;TOO
1892;Monseñor Óscar Arnulfo Romero International Airport;San Salvador;El Salvador;SAL
1893;Ilopango International Airport;San Salvador;El Salvador;\N
1894;Les Cayes Airport;Cayes;Haiti;CYA
1895;Cap Haitien International Airport;Cap Haitien;Haiti;CAP
1896;Jacmel Airport;Jacmel;Haiti;JAK
1897;Toussaint Louverture International Airport;Port-au-prince;Haiti;PAP
1898;Gustavo Rizo Airport;Baracoa Playa;Cuba;BCA
1899;Carlos Manuel de Cespedes Airport;Bayamo;Cuba;BYM
1900;Maximo Gomez Airport;Ciego De Avila;Cuba;AVI
1901;Jardines Del Rey Airport;Cunagua;Cuba;CCC
1902;Jaime Gonzalez Airport;Cienfuegos;Cuba;CFG
1903;Vilo Acuña International Airport;Cayo Largo del Sur;Cuba;CYO
1904;Ignacio Agramonte International Airport;Camaguey;Cuba;CMW
1905;Antonio Maceo International Airport;Santiago De Cuba;Cuba;SCU
1906;Florida Airport;Florida;Cuba;\N
1907;Leeward Point Field;Guantanamo;Cuba;NBW
1908;Mariana Grajales Airport;Guantanamo;Cuba;GAO
1909;José Martí International Airport;Havana;Cuba;HAV
1910;Frank Pais International Airport;Holguin;Cuba;HOG
1911;La Coloma Airport;La Coloma;Cuba;LCL
1912;Orestes Acosta Airport;Moa;Cuba;MOA
1913;Sierra Maestra Airport;Manzanillo;Cuba;MZO
1914;Rafael Cabrera Airport;Nueva Gerona;Cuba;GER
1915;Playa Baracoa Airport;Baracoa Playa;Cuba;UPB
1916;Pinar Del Rio Airport;Pinar Del Rio Norte;Cuba;QPD
1917;San Antonio De Los Banos Airport;San Antonio De Banos;Cuba;\N
1918;Abel Santamaria Airport;Santa Clara;Cuba;SNU
1919;Joaquín de Agüero Airport;Santa Lucia;Cuba;\N
1920;Siguanea Airport;Siguanea;Cuba;SZJ
1921;Sancti Spiritus Airport;Sancti Spiritus;Cuba;USS
1923;Juan Gualberto Gomez International Airport;Varadero;Cuba;VRA
1924;Hermanos Ameijeiras Airport;Las Tunas;Cuba;VTU
1925;Gerrard Smith International Airport;Cayman Brac;Cayman Islands;CYB
1926;Owen Roberts International Airport;Georgetown;Cayman Islands;GCM
1927;Clarence A. Bain Airport;Clarence Bain;Bahamas;MAY
1928;Andros Town Airport;Andros Town;Bahamas;ASD
1930;Leonard M Thompson International Airport;Marsh Harbor;Bahamas;MHH
1931;San Andros Airport;San Andros;Bahamas;SAQ
1932;Spring Point Airport;Spring Point;Bahamas;AXP
1933;Sandy Point Airport;Sandy Point;Bahamas;\N
1934;Treasure Cay Airport;Treasure Cay;Bahamas;TCB
1935;Chub Cay Airport;Chub Cay;Bahamas;CCZ
1936;Great Harbour Cay Airport;Bullocks Harbour;Bahamas;GHC
1937;South Bimini Airport;Alice Town;Bahamas;BIM
1941;Exuma International Airport;Great Exuma;Bahamas;GGT
1942;George Town Airport;George Town;Bahamas;\N
1943;North Eleuthera Airport;North Eleuthera;Bahamas;ELH
1944;Governor's Harbour Airport;Governor's Harbor;Bahamas;GHB
1945;Normans Cay Airport;Norman's Cay;Bahamas;NMC
1946;Rock Sound Airport;Rock Sound;Bahamas;RSD
1947;Staniel Cay Airport;Staniel Cay;Bahamas;TYM
1948;Grand Bahama International Airport;Freeport;Bahamas;FPO
1949;Inagua Airport;Matthew Town;Bahamas;IGA
1950;Deadman's Cay Airport;Dead Man's Cay;Bahamas;LGI
1951;Stella Maris Airport;Stella Maris;Bahamas;SML
1952;Mayaguana Airport;Mayaguana;Bahamas;MYG
1953;Lynden Pindling International Airport;Nassau;Bahamas;NAS
1954;Duncan Town Airport;Duncan Town;Bahamas;DCT
1955;Rum Cay Airport;Port Nelson;Bahamas;RCY
1956;San Salvador Airport;Cockburn Town;Bahamas;ZSA
1957;Philip S. W. Goldson International Airport;Belize City;Belize;BZE
1958;Aitutaki Airport;Aitutaki;Cook Islands;AIT
1959;Rarotonga International Airport;Avarua;Cook Islands;RAR
1960;Nadi International Airport;Nandi;Fiji;NAN
1961;Nausori International Airport;Nausori;Fiji;SUV
1963;Fua'amotu International Airport;Tongatapu;Tonga;TBU
1964;Vava'u International Airport;Vava'u;Tonga;VAV
1965;Bonriki International Airport;Tarawa;Kiribati;TRW
1966;Tabiteuea North Airport;Tabiteuea North;Kiribati;TBF
1968;Hihifo Airport;Wallis;Wallis and Futuna;WLS
1969;Faleolo International Airport;Faleolo;Samoa;APW
1970;Pago Pago International Airport;Pago Pago;American Samoa;PPG
1971;Rurutu Airport;Rurutu;French Polynesia;RUR
1972;Tubuai Airport;Tubuai;French Polynesia;TUB
1973;Anaa Airport;Anaa;French Polynesia;AAA
1974;Fangatau Airport;Fangatau;French Polynesia;FGU
1975;Tikehau Airport;Tikehau;French Polynesia;TIH
1976;Reao Airport;Reao;French Polynesia;REA
1977;Fakarava Airport;Fakarava;French Polynesia;FAV
1978;Manihi Airport;Manihi;French Polynesia;XMH
1979;Totegegie Airport;Totegegie;French Polynesia;GMR
1980;Kaukura Airport;Kaukura Atoll;French Polynesia;KKR
1981;Makemo Airport;Makemo;French Polynesia;MKP
1982;Puka Puka Airport;Puka Puka;French Polynesia;PKP
1983;Takapoto Airport;Takapoto;French Polynesia;TKP
1984;Arutua Airport;Arutua;French Polynesia;AXR
1985;Mataiva Airport;Mataiva;French Polynesia;MVT
1986;Takaroa Airport;Takaroa;French Polynesia;TKX
1987;Nuku Hiva Airport;Nuku Hiva;French Polynesia;NHV
1989;Bora Bora Airport;Bora Bora;French Polynesia;BOB
1990;Rangiroa Airport;Rangiroa;French Polynesia;RGI
1991;Huahine-Fare Airport;Huahine Island;French Polynesia;HUH
1992;Moorea Airport;Moorea;French Polynesia;MOZ
1993;Hao Airport;Hao Island;French Polynesia;HOI
1994;Maupiti Airport;Maupiti;French Polynesia;MAU
1995;Raiatea Airport;Raiatea Island;French Polynesia;RFP
1997;Bauerfield International Airport;Port-vila;Vanuatu;VLI
1998;Koné Airport;Kone;New Caledonia;KNQ
1999;Koumac Airport;Koumac;New Caledonia;KOC
2000;Lifou Airport;Lifou;New Caledonia;LIF
2001;Nouméa Magenta Airport;Noumea;New Caledonia;GEA
2002;Maré Airport;Mare;New Caledonia;MEE
2003;Touho Airport;Touho;New Caledonia;TOU
2004;Ouvéa Airport;Ouvea;New Caledonia;UVE
2005;La Tontouta International Airport;Noumea;New Caledonia;NOU
2006;Auckland International Airport;Auckland;New Zealand;AKL
2007;Taupo Airport;Taupo;New Zealand;TUO
2008;Ardmore Airport;Ardmore;New Zealand;AMZ
2009;Christchurch International Airport;Christchurch;New Zealand;CHC
2010;Chatham Islands-Tuuta Airport;Chatham Island;New Zealand;CHT
2011;Dunedin Airport;Dunedin;New Zealand;DUD
2012;Gisborne Airport;Gisborne;New Zealand;GIS
2013;Glentanner Airport;Glentanner;New Zealand;GTN
2014;Hokitika Airfield;Hokitika;New Zealand;HKK
2015;Hamilton International Airport;Hamilton;New Zealand;HLZ
2016;Hastings Aerodrome;Hastings;New Zealand;\N
2017;Kerikeri Airport;Kerikeri;New Zealand;KKE
2018;Kaitaia Airport;Kaitaia;New Zealand;KAT
2019;Alexandra Airport;Alexandra;New Zealand;ALR
2020;Mount Cook Airport;Mount Cook;New Zealand;MON
2021;Manapouri Airport;Manapouri;New Zealand;TEU
2022;Hood Airport;Masterton;New Zealand;MRO
2023;New Plymouth Airport;New Plymouth;New Zealand;NPL
2024;Nelson Airport;Nelson;New Zealand;NSN
2025;Invercargill Airport;Invercargill;New Zealand;IVC
2026;RNZAF Base Ohakea;Ohakea;New Zealand;OHA
2027;Oamaru Airport;Oamaru;New Zealand;OAM
2028;Palmerston North Airport;Palmerston North;New Zealand;PMR
2029;Paraparaumu Airport;Paraparaumu;New Zealand;PPQ
2030;Queenstown International Airport;Queenstown International;New Zealand;ZQN
2031;Rotorua Regional Airport;Rotorua;New Zealand;ROT
2032;Waiouru Airport;Waiouru;New Zealand;\N
2033;South Pole Station Airport;Stephen's Island;Antarctica;\N
2034;Tauranga Airport;Tauranga;New Zealand;TRG
2035;Timaru Airport;Timaru;New Zealand;TIU
2036;Pukaki Airport;Pukaki;New Zealand;TWZ
2037;Woodbourne Airport;Woodbourne;New Zealand;BHE
2038;Williams Field;Weydon;Antarctica;\N
2039;Wanaka Airport;Wanaka;New Zealand;WKA
2040;Wigram Airport;Wigram;New Zealand;\N
2041;Whakatane Airport;Whakatane;New Zealand;WHK
2042;Wellington International Airport;Wellington;New Zealand;WLG
2043;Wairoa Airport;Wairoa;New Zealand;WIR
2044;RNZAF Base Auckland-Whenuapai;Whenuapai;New Zealand;\N
2045;Whangarei Airport;Whangarei;New Zealand;WRE
2046;Westport Airport;Westport;New Zealand;WSZ
2047;Wanganui Airport;Wanganui;New Zealand;WAG
2048;Herat Airport;Herat;Afghanistan;HEA
2049;Jalalabad Airport;Jalalabad;Afghanistan;JAA
2050;Hamid Karzai International Airport;Kabul;Afghanistan;KBL
2051;Kandahar Airport;Kandahar;Afghanistan;KDH
2052;Maimana Airport;Maimama;Afghanistan;MMZ
2053;Mazar I Sharif Airport;Mazar-i-sharif;Afghanistan;MZR
2054;Shindand Airport;Shindand;Afghanistan;OAH
2055;Sheberghan Airport;Sheberghan;Afghanistan;\N
2056;Konduz Airport;Kunduz;Afghanistan;UND
2057;Bahrain International Airport;Bahrain;Bahrain;BAH
2058;Sheik Isa Air Base;Bahrain;Bahrain;\N
2059;Abha Regional Airport;Abha;Saudi Arabia;AHB
2060;Al Ahsa Airport;Al-ahsa;Saudi Arabia;HOF
2061;Al Baha Airport;El-baha;Saudi Arabia;ABT
2062;Bisha Airport;Bisha;Saudi Arabia;BHH
2063;Abqaiq Airport;Abqaiq;Saudi Arabia;\N
2064;King Fahd International Airport;Dammam;Saudi Arabia;DMM
2065;King Abdulaziz Air Base;Dhahran;Saudi Arabia;DHA
2066;Jizan Regional Airport;Gizan;Saudi Arabia;GIZ
2067;Gassim Airport;Gassim;Saudi Arabia;ELQ
2068;Gurayat Domestic Airport;Guriat;Saudi Arabia;URY
2069;Ha'il Airport;Hail;Saudi Arabia;HAS
2070;Jubail Airport;Jubail;Saudi Arabia;QJB
2071;King Faisal Naval Base;Jeddah;Saudi Arabia;\N
2072;King Abdulaziz International Airport;Jeddah;Saudi Arabia;JED
2073;King Khaled Military City Airport;King Khalid Mil.city;Saudi Arabia;KMC
2074;Prince Mohammad Bin Abdulaziz Airport;Madinah;Saudi Arabia;MED
2075;Nejran Airport;Nejran;Saudi Arabia;EAM
2076;Al Qaisumah/Hafr Al Batin Airport;Hafr Al-batin;Saudi Arabia;AQI
2077;Pump Station 3 Airport;Petroline 3;Saudi Arabia;\N
2078;Pump Station 6 Airport;Petroline 6;Saudi Arabia;\N
2079;Pump Station 10 Airport;Petroline 10;Saudi Arabia;\N
2080;Rabigh Airport;Rabigh;Saudi Arabia;\N
2081;Rafha Domestic Airport;Rafha;Saudi Arabia;RAH
2082;King Khaled International Airport;Riyadh;Saudi Arabia;RUH
2083;Ras Mishab Airport;Rash Mishab;Saudi Arabia;\N
2084;Arar Domestic Airport;Arar;Saudi Arabia;RAE
2085;Ras Tanura Airport;Ras Tanura;Saudi Arabia;\N
2086;Sharurah Airport;Sharurah;Saudi Arabia;SHW
2088;Sulayel Airport;Sulayel;Saudi Arabia;SLF
2089;Tabuk Airport;Tabuk;Saudi Arabia;TUU
2090;Ta’if Regional Airport;Taif;Saudi Arabia;TIF
2091;Thumamah Airport;Thumamah;Saudi Arabia;\N
2092;Ras Tanajib Airport;Ras Tanajib;Saudi Arabia;\N
2093;Turaif Domestic Airport;Turaif;Saudi Arabia;TUI
2095;Al Wajh Domestic Airport;Wejh;Saudi Arabia;EJH
2096;Prince Abdulmohsin Bin Abdulaziz Airport;Yenbo;Saudi Arabia;YNB
2097;Abadan Airport;Abadan;Iran;ABD
2098;Dezful Airport;Dezful;Iran;DEF
2099;Aghajari Airport;Aghajari;Iran;AKW
2100;Gachsaran Airport;Gachsaran;Iran;GCH
2101;Shahid Asyaee Airport;Masjed Soleiman;Iran;\N
2102;Omidiyeh Airport;Omidyeh;Iran;OMI
2103;Mahshahr Airport;Bandar Mahshahr;Iran;MRX
2104;Ahwaz Airport;Ahwaz;Iran;AWZ
2105;Abu Musa Island Airport;Abumusa I.;Iran;AEU
2106;Bushehr Airport;Bushehr;Iran;BUZ
2107;Bastak Airport;Bastak;Iran;\N
2108;Asaloyeh Airport;Golbandi;Iran;\N
2109;Kish International Airport;Kish Island;Iran;KIH
2110;Bandar Lengeh Airport;Bandar Lengeh;Iran;BDH
2111;Khark Island Airport;Khark Island;Iran;KHK
2112;Sirri Island Airport;Siri Island;Iran;SXI
2113;Lavan Island Airport;Lavan Island;Iran;LVP
2114;Shahid Ashrafi Esfahani Airport;Bakhtaran;Iran;KSH
2117;Sanandaj Airport;Sanandaj;Iran;SDG
2118;Hesa Airport;Daran;Iran;IFH
2119;Shahid Vatan Pour Air Base;Esfahan;Iran;\N
2120;Kashan Airport;Kashan;Iran;KKS
2121;Esfahan Shahid Beheshti International Airport;Esfahan;Iran;IFN
2122;Badr Air Base;Sepah;Iran;\N
2123;Sardar-e-Jangal Airport;Rasht;Iran;RAS
2125;Arak Airport;Arak;Iran;AJK
2126;Ghazvin Azadi Airport;Abe-ali;Iran;\N
2127;Kushke Nosrat Airport;Kushke Nosrat;Iran;\N
2128;Doshan Tappeh Air Base;Teheran;Iran;\N
2130;Ghale Morghi Airport;Teheran;Iran;\N
2131;Mehrabad International Airport;Teheran;Iran;THR
2132;Qazvin Airport;Ghazvin;Iran;GZW
2133;Naja Airport;Khoram Dareh;Iran;\N
2134;Bandar Abbas International Airport;Bandar Abbas;Iran;BND
2135;Jiroft Airport;Jiroft;Iran;JYR
2136;Kerman Airport;Kerman;Iran;KER
2138;Havadarya Airport;Bandar Abbas;Iran;HDR
2139;Dayrestan Airport;Gheshm I.;Iran;\N
2141;Sirjan Airport;Sirjan;Iran;SYJ
2142;Birjand Airport;Birjand;Iran;XBJ
2143;Sarakhs Airport;Sarakhs;Iran;CKT
2144;Shahroud Airport;Emam Shahr;Iran;RUD
2147;Tabas Airport;Tabas;Iran;TCX
2148;Kalaleh Airport;Kalaleh;Iran;KLM
2151;Ramsar Airport;Ramsar;Iran;RZR
2153;Fasa Airport;Fasa;Iran;FAZ
2154;Jahrom Airport;Jahrom;Iran;JAR
2156;Lamerd Airport;Lamerd;Iran;LFM
2157;Shiraz Shahid Dastghaib International Airport;Shiraz;Iran;SYZ
2158;Khoy Airport;Khoy;Iran;KHY
2162;Tabriz International Airport;Tabriz;Iran;TBZ
2163;Zanjan Airport;Zanjan;Iran;JWN
2164;Shahid Sadooghi Airport;Yazd;Iran;AZD
2165;Zabol Airport;Zabol;Iran;ACZ
2166;Konarak Airport;Chah Bahar;Iran;ZBR
2167;Zahedan International Airport;Zahedan;Iran;ZAH
2168;Iran Shahr Airport;Iran Shahr;Iran;IHR
2169;Saravan Airport;Saravan;Iran;\N
2170;Queen Alia International Airport;Amman;Jordan;AMM
2171;Amman-Marka International Airport;Amman;Jordan;ADJ
2172;Aqaba King Hussein International Airport;Aqaba;Jordan;AQJ
2173;Prince Hassan Air Base;Hotel Four;Jordan;\N
2174;Jerusalem Airport;Jerusalem;West Bank;\N
2175;King Hussein Air College;Mafraq;Jordan;OMF
2176;Kuwait International Airport;Kuwait;Kuwait;KWI
2177;Beirut Rafic Hariri International Airport;Beirut;Lebanon;BEY
2178;Rene Mouawad Air Base;Kleiat;Lebanon;KYE
2179;Abu Dhabi International Airport;Abu Dhabi;United Arab Emirates;AUH
2180;Bateen Airport;Abu Dhabi;United Arab Emirates;AZI
2181;Al Hamra Aux Airport;Al Hamra;United Arab Emirates;\N
2182;Jebel Dhana Airport;Jebel Dhana;United Arab Emirates;\N
2184;Al Dhafra Air Base;Abu Dhabi;United Arab Emirates;DHF
2185;Arzanah Airport;Arzana;United Arab Emirates;\N
2186;Das Island Airport;Das Island;United Arab Emirates;\N
2187;Zirku Airport;Zirku;United Arab Emirates;\N
2188;Dubai International Airport;Dubai;United Arab Emirates;DXB
2189;Fujairah International Airport;Fujeirah;United Arab Emirates;FJR
2190;Ras Al Khaimah International Airport;Ras Al Khaimah;United Arab Emirates;RKT
2191;Sharjah International Airport;Sharjah;United Arab Emirates;SHJ
2192;Khasab Air Base;Khasab;Oman;KHS
2193;Masirah Air Base;Masirah;Oman;MSH
2194;Muscat International Airport;Muscat;Oman;MCT
2195;Salalah Airport;Salalah;Oman;SLL
2196;Thumrait Air Base;Thumrait;Oman;TTH
2197;Bhagatanwala Airport;Bhagtanwala;Pakistan;BHW
2202;Faisalabad International Airport;Faisalabad;Pakistan;LYP
2203;Gwadar International Airport;Gwadar;Pakistan;GWD
2204;Gilgit Airport;Gilgit;Pakistan;GIL
2205;Shahbaz Air Base;Jacobsbad;Pakistan;JAG
2206;Jinnah International Airport;Karachi;Pakistan;KHI
2207;Alama Iqbal International Airport;Lahore;Pakistan;LHE
2208;Walton Airport;Lahore;Pakistan;\N
2209;Mangla Airport;Mangla;Pakistan;XJM
2210;Muzaffarabad Airport;Muzaffarabad;Pakistan;MFG
2211;Mianwali Air Base;Mianwali;Pakistan;MWD
2212;Moenjodaro Airport;Moenjodaro;Pakistan;MJD
2213;Masroor Air Base;Karachi;Pakistan;\N
2214;Multan International Airport;Multan;Pakistan;MUX
2215;Shaheed Benazirabad Airport;Nawabshah;Pakistan;WNS
2216;Okara Cantonment Airstrip;Okara;Pakistan;\N
2217;Panjgur Airport;Panjgur;Pakistan;PJG
2218;Pasni Airport;Pasni;Pakistan;PSI
2219;Peshawar International Airport;Peshawar;Pakistan;PEW
2220;Qasim Airport;Qasim;Pakistan;\N
2221;Quetta International Airport;Quetta;Pakistan;UET
2222;Shaikh Zaid Airport;Rahim Yar Khan;Pakistan;RYK
2223;Benazir Bhutto International Airport;Islamabad;Pakistan;\N
2224;Risalpur Air Base;Risalpur;Pakistan;\N
2225;Rawalakot Airport;Rawala Kot;Pakistan;RAZ
2227;Sukkur Airport;Sukkur;Pakistan;SKZ
2228;Saidu Sharif Airport;Saidu Sharif;Pakistan;SDT
2229;Sui Airport;Sui;Pakistan;SUL
2230;Talhar Airport;Talhar;Pakistan;BDN
2232;Wana Airport;Wana;Pakistan;WAF
2233;Zhob Airport;Zhob;Pakistan;PZH
2234;Basrah International Airport;Basrah;Iraq;BSR
2235;Aleppo International Airport;Aleppo;Syria;ALP
2236;Damascus International Airport;Damascus;Syria;DAM
2237;Deir ez-Zor Air Base;Deire Zor;Syria;DEZ
2239;Bassel Al-Assad International Airport;Latakia;Syria;LTK
2240;Palmyra Airport;Palmyra;Syria;PMS
2241;Doha International Airport;Doha;Qatar;DIA
2242;Canton Island Airport;Canton Island;Kiribati;CIS
2243;Rota International Airport;Rota;Northern Mariana Islands;ROP
2244;Saipan International Airport;Saipan;Northern Mariana Islands;SPN
2245;Andersen Air Force Base;Andersen;Guam;UAM
2246;Antonio B. Won Pat International Airport;Agana;Guam;GUM
2247;Tinian International Airport;West Tinian;Northern Mariana Islands;TIQ
2249;Marshall Islands International Airport;Majuro;Marshall Islands;MAJ
2250;Dyess Army Air Field;Kwajalein;Marshall Islands;\N
2251;Bucholz Army Air Field;Kwajalein;Marshall Islands;KWA
2252;Cassidy International Airport;Kiritimati;Kiribati;CXI
2253;Henderson Field;Midway;Midway Islands;MDY
2254;Chuuk International Airport;Chuuk;Micronesia;TKK
2255;Pohnpei International Airport;Pohnpei;Micronesia;PNI
2256;Babelthuap Airport;Babelthuap;Palau;ROR
2257;Kosrae International Airport;Kosrae;Micronesia;KSA
2258;Yap International Airport;Yap;Micronesia;YAP
2259;Kinmen Airport;Kinmen;Taiwan;KNH
2260;Pingtung South Airport;Pingtung;Taiwan;\N
2261;Longtan Air Base;Longtang;Taiwan;\N
2262;Taitung Airport;Fengnin;Taiwan;TTT
2263;Lyudao Airport;Green Island;Taiwan;GNI
2264;Kaohsiung International Airport;Kaohsiung;Taiwan;KHH
2265;Chiayi Airport;Chiayi;Taiwan;CYI
2267;Lanyu Airport;Lanyu;Taiwan;KYD
2268;Taichung Ching Chuang Kang Airport;Taichung;Taiwan;RMQ
2270;Tainan Airport;Tainan;Taiwan;TNN
2271;Hsinchu Air Base;Hsinchu;Taiwan;HSZ
2272;Makung Airport;Makung;Taiwan;MZG
2273;Chihhang Air Base;Taitung;Taiwan;\N
2274;Pingtung North Airport;Pingtung;Taiwan;PIF
2275;Taipei Songshan Airport;Taipei;Taiwan;TSA
2276;Taiwan Taoyuan International Airport;Taipei;Taiwan;TPE
2277;Wang-an Airport;Wang An;Taiwan;WOT
2278;Hualien Airport;Hualien;Taiwan;HUN
2279;Narita International Airport;Tokyo;Japan;NRT
2280;Matsumoto Airport;Matsumoto;Japan;MMJ
2281;Hyakuri Airport;Ibaraki;Japan;IBR
2282;Minami Torishima Airport;Minami Tori Shima;Japan;MUS
2283;Iwo Jima Airport;Iwojima;Japan;IWO
2284;Nanki Shirahama Airport;Nanki-shirahama;Japan;SHM
2285;Kohnan Airport;Kohnan;Japan;\N
2286;Tokachi-Obihiro Airport;Obihiro;Japan;OBO
2287;New Chitose Airport;Sapporo;Japan;CTS
2288;Hakodate Airport;Hakodate;Japan;HKD
2289;Chitose Air Base;Chitose;Japan;\N
2290;Memanbetsu Airport;Memanbetsu;Japan;MMB
2291;Nakashibetsu Airport;Nakashibetsu;Japan;SHB
2293;Tokachi Airport;Tokachi;Japan;\N
2294;Wakkanai Airport;Wakkanai;Japan;WKJ
2295;Iki Airport;Iki;Japan;IKI
2296;Yamaguchi Ube Airport;Yamaguchi;Japan;UBJ
2297;Tsushima Airport;Tsushima;Japan;TSJ
2298;Monbetsu Airport;Monbetsu;Japan;MBE
2299;Asahikawa Airport;Asahikawa;Japan;AKJ
2300;Okushiri Airport;Okushiri;Japan;OIR
2301;Rishiri Airport;Rishiri Island;Japan;RIS
2302;Ashiya Airport;Ashiya;Japan;\N
2303;Yakushima Airport;Yakushima;Japan;KUM
2304;Fukue Airport;Fukue;Japan;FUJ
2305;Fukuoka Airport;Fukuoka;Japan;FUK
2306;New Tanegashima Airport;Tanegashima;Japan;TNE
2307;Kagoshima Airport;Kagoshima;Japan;KOJ
2308;Miyazaki Airport;Miyazaki;Japan;KMI
2309;Nyutabaru Airport;Nyutabaru;Japan;\N
2310;Oita Airport;Oita;Japan;OIT
2311;Kitakyūshū Airport;Kitakyushu;Japan;KKJ
2312;Kumamoto Airport;Kumamoto;Japan;KMJ
2313;Nagasaki Airport;Nagasaki;Japan;NGS
2314;Kanoya Airport;Kanoya;Japan;\N
2315;Tsuiki Air Field;Tsuiki;Japan;\N
2316;Amami Airport;Amami;Japan;ASJ
2317;Okierabu Airport;Okierabu;Japan;OKE
2318;Tokunoshima Airport;Tokunoshima;Japan;TKN
2319;Fukui Airport;Fukui;Japan;FKJ
2320;Gifu Airport;Gifu;Japan;QGU
2321;Hamamatsu Airport;Hamamatsu;Japan;\N
2322;Komatsu Airport;Kanazawa;Japan;KMQ
2323;Oki Airport;Oki Island;Japan;OKI
2324;Toyama Airport;Toyama;Japan;TOY
2325;Shizuhama Airport;Yaizu;Japan;\N
2326;Hiroshima Airport;Hiroshima;Japan;HIJ
2327;Okayama Airport;Okayama;Japan;OKJ
2328;Izumo Airport;Izumo;Japan;IZO
2329;Hofu Airport;Hofu;Japan;\N
2330;Miho Yonago Airport;Miho;Japan;YGJ
2332;Kōchi Ryōma Airport;Kochi;Japan;KCZ
2333;Matsuyama Airport;Matsuyama;Japan;MYJ
2334;Osaka International Airport;Osaka;Japan;ITM
2335;Tottori Airport;Tottori;Japan;TTJ
2336;Tokushima Airport/JMSDF Air Base;Tokushima;Japan;TKS
2337;Takamatsu Airport;Takamatsu;Japan;TAK
2338;Yao Airport;Osaka;Japan;\N
2339;Ozuki Airport;Ozuki;Japan;\N
2340;Aomori Airport;Aomori;Japan;AOJ
2341;Yamagata Airport;Yamagata;Japan;GAJ
2342;Sado Airport;Sado;Japan;SDS
2343;Hachinohe Airport;Hachinoe;Japan;HHE
2344;Hanamaki Airport;Hanamaki;Japan;HNA
2345;Akita Airport;Akita;Japan;AXT
2346;Misawa Air Base;Misawa;Japan;MSJ
2347;Sendai Airport;Sendai;Japan;SDJ
2348;Matsushima Air Base;Matsushima;Japan;\N
2350;Atsugi Naval Air Facility;Atsugi;Japan;NJA
2351;Tateyama Airport;Tateyama;Japan;\N
2352;Hachijojima Airport;Hachijojima;Japan;HAC
2353;Iruma Air Base;Iruma;Japan;\N
2354;Kisarazu Airport;Kisarazu;Japan;\N
2355;Shimofusa Airport;Shimofusa;Japan;\N
2356;Oshima Airport;Oshima;Japan;OIM
2358;Kastner Army Heliport;Zama;Japan;\N
2359;Tokyo Haneda International Airport;Tokyo;Japan;HND
2360;Yokota Air Base;Yokota;Japan;OKO
2361;Gwangju Airport;Kwangju;South Korea;KWJ
2364;Jeon Ju Airport (G-703);Jhunju;South Korea;CHN
2365;Yeosu Airport;Yeosu;South Korea;RSU
2366;Sokcho Airport;Sokch'o;South Korea;\N
2367;Gangneung Airport (K-18);Kangnung;South Korea;KAG
2370;Jeju International Airport;Cheju;South Korea;CJU
2371;Jinhae Airbase/Airport (G-813/K-10);Chinhae;South Korea;CHF
2372;Gimhae International Airport;Busan;South Korea;PUS
2374;Ulsan Airport;Ulsan;South Korea;USN
2375;A 511 Airport;Pyongtaek;South Korea;\N
2376;Seoul Air Base (K-16);Seoul East;South Korea;SSN
2377;Osan Air Base;Osan;South Korea;OSN
2378;Gimpo International Airport;Seoul;South Korea;GMP
2379;Suwon Airport;Suwon;South Korea;SWU
